Total Score,Score_consistency,Score_annotation_met,Score_annotation_rxn,Score_annotation_gene,Score_annotation_sbo,Mass Balance %,Charge Balance %,Biomass Consistency Deviation,Growth Rate (Default),Blocked Precursors (default),Blocked Precursors (open),Unrealistic Growth Count,Blocked Reactions Fraction,Genome,Gram
0.6864181224181015,0.8888555613121369,0.545427063867209,0.5547258918884421,0.0,0.6363636363636364,0,0,0.0,4.402828567370287,4,4,5,0.46352670878805285,GCF_000420405_positive,positive
0.6815602107188161,0.8762911687700329,0.5454451501371715,0.555089058524173,0.0,0.6363636363636364,0,0,0.0,9.018952710985538,2,2,3,0.5324427480916031,GCF_023541015_negative,negative
0.6814828120158638,0.8760755123563454,0.5454461123292291,0.5551754100141197,0.0,0.6363636363636364,0,0,0.0,8.447916756691361,0,0,3,0.4499837080482242,GCF_003606205_negative,negative
0.6819239445486552,0.8772359454309682,0.5454450122025625,0.5550395256916996,0.0,0.6363636363636364,0,0,0.0,14.956279178104925,2,2,5,0.46679841897233204,GCF_004115975_negative,negative
0.685312487164156,0.8859494826906789,0.5454446897421745,0.5550391028478678,0.0,0.6363636363636364,0,0,0.0,6.683968778524571,0,0,3,0.5347498893315626,GCF_015475875_negative,negative
0.6835737692963377,0.8814895392030301,0.5454442195696171,0.5549815851150333,0.0,0.6363636363636364,0,0,0.0,1.8645053028723564,1,1,1,0.45329315540249676,GCF_002795425_negative,negative
0.6849968094887994,0.8851402470529209,0.5454447365323498,0.5550258945386064,0.0,0.6363636363636364,0,0,0.0,5.739926668462607,2,2,3,0.5008474576271187,GCF_009674685_negative,negative
0.6906611532099866,0.8997846562289038,0.5454398161786367,0.5546163069544364,0.0,0.6363636363636364,0,0,0.0,3.9983785435180743,0,0,3,0.5194244604316547,GCF_900445635_negative,negative
0.6933293820999251,0.906635848047084,0.5454398542633836,0.5546686018384132,0.0,0.6363636363636364,0,0,0.0,2.953213894995467,0,0,2,0.5442670537010159,GCF_000426745_negative,negative
0.6878298203884109,0.8924335164677589,0.5454353663214422,0.5549912474663719,0.0,0.6363636363636364,0,0,0.0,6.953361476530785,2,2,5,0.5049751243781094,GCF_006717075_positive,positive
0.6826723970070542,0.879147461213953,0.545445340402813,0.5551078478191658,0.0,0.6363636363636364,0,0,0.0,8.39264508333696,0,0,3,0.49892550143266473,GCF_002258215_negative,negative
0.6845725231704328,0.8840758591066639,0.545442842430484,0.5548879600603739,0.0,0.6363636363636364,0,0,0.0,0.6937462347688262,2,2,0,0.53239289446186,GCF_014642275_negative,negative
0.6836431420785055,0.8816518316518316,0.5454447365323498,0.5550655653553596,0.0,0.6363636363636364,0,0,0.0,21.295989703860364,2,2,5,0.48173036539269215,GCF_000377745_negative,negative
0.68384321239066,0.8821745503111954,0.5454353338968723,0.5550316442432626,0.0,0.6363636363636364,0,0,0.0,4.879448909299697,0,0,5,0.4866088268577895,GCF_003014675_positive,positive
0.6877118498405346,0.8921609517979079,0.5454318408863863,0.5548331350218143,0.0,0.6363636363636364,0,0,0.0,4.993954094178594,3,3,5,0.5017848036715962,GCF_001077535_positive,positive
0.692242203348606,0.9038860959412942,0.5454241207253255,0.5544436207890618,0.0,0.6363636363636364,0,0,0.0,3.987944416711658,5,5,5,0.5329873980726464,GCF_000173915_positive,positive
0.683637194069189,0.8816571382539266,0.5454356768179931,0.5549664672829436,0.0,0.6363636363636364,0,0,0.0,25.711399848757633,5,5,7,0.5,GCF_000348785_positive,positive
