gcf	base_cov	meteor_cov
GCA_003598085.1	0.1942	0.2974
GCA_014873095.1	0.1924	0.2945
GCA_022305115.1	0.2781	0.3492
GCA_046479585.1	0.125	0.1975
GCA_050699075.1	0.165	0.2739
GCA_051904755.1	0.21	0.2937
GCA_057539575.1	0.2689	0.3626
GCA_982345475.1	0.0046	0.0462
GCF_000006945.2	0.2511	0.3223
GCF_000006965.1	0.2574	0.3553
GCF_000008185.1	0.1067	0.2187
GCF_000008805.1	0.1489	0.2226
GCF_000009625.1	0.2913	0.3721
GCF_000012685.1	0.2382	0.357
GCF_000013085.1	0.2132	0.294
GCF_000014565.1	0.2951	0.3963
GCF_000014705.1	0.2212	0.3071
GCF_000016425.1	0.2269	0.3276
GCF_000017425.1	0.1959	0.2835
GCF_000018345.1	0.2523	0.3613
GCF_000018605.1	0.137	0.205
GCF_000021425.1	0.1209	0.1988
GCF_000021865.1	0.2064	0.2953
GCF_000023285.1	0.1384	0.2217
GCF_000024385.1	0.2362	0.3265
GCF_000026645.1	0.2699	0.357
GCF_000069185.1	0.2471	0.3431
GCF_000091305.1	0.2832	0.3878
GCF_000092025.1	0.2527	0.3408
GCF_000146655.1	0.147	0.2274
GCF_000147055.1	0.2444	0.3248
GCF_000158815.1	0.2357	0.3385
GCF_000174395.2	0.1355	0.2359
GCF_000195675.1	0.2421	0.3399
GCF_000195955.2	0.2277	0.3232
GCF_000237205.1	0.1177	0.2268
GCF_000237305.1	0.2693	0.3658
GCF_000258405.1	0.1769	0.2761
GCF_000331005.1	0.2904	0.4013
GCF_000758665.1	0.2214	0.3385
GCF_000813125.1	0.2117	0.3065
GCF_000816885.1	0.2306	0.3123
GCF_000833375.1	0.1476	0.2149
GCF_001189295.1	0.2588	0.3672
GCF_001272835.1	0.0328	0.0855
GCF_001427935.1	0.2394	0.3491
GCF_001544575.2	0.3006	0.4096
GCF_001682855.1	0.2181	0.336
GCF_001721185.1	0.2192	0.3076
GCF_002257695.2	0.2085	0.318
GCF_002260525.1	0.252	0.3504
GCF_003019295.1	0.1159	0.2109
GCF_003121295.1	0.2563	0.3481
GCF_003324715.1	0.2271	0.3165
GCF_003605405.2	0.2199	0.3212
GCF_003626845.1	0.2288	0.3207
GCF_004307055.1	0.2797	0.3853
GCF_006094295.1	0.2265	0.3213
GCF_008152325.1	0.1548	0.2439
GCF_008244845.1	0.2499	0.322
GCF_008639165.1	0.272	0.3665
GCF_008931305.1	0.2676	0.3626
GCF_013365535.1	0.2137	0.3155
GCF_015277775.1	0.2469	0.36
GCF_017916255.1	0.2721	0.3548
GCF_018732145.1	0.2345	0.332
GCF_019856495.1	0.1749	0.2566
GCF_021278985.1	0.249	0.3183
GCF_022406515.1	0.1501	0.2505
GCF_024519395.1	0.2557	0.3277
GCF_032924845.1	0.2314	0.318
GCF_039535865.1	0.1408	0.2504
GCF_045039055.1	0.1526	0.2407
GCF_045207185.1	0.273	0.3573
GCF_045286965.1	0.2682	0.3713
GCF_045348045.1	0.1752	0.2564
GCF_045571375.1	0.2549	0.353
GCF_045712965.1	0.218	0.3113
GCF_046591535.1	0.2096	0.3005
GCF_047219265.1	0.2512	0.325
GCF_047301005.1	0.1379	0.2068
GCF_047946945.1	0.2395	0.3203
GCF_049860565.1	0.1854	0.2893
GCF_050157305.1	0.2001	0.2915
GCF_050233995.1	0.1215	0.215
GCF_051043275.1	0.2583	0.366
GCF_051903345.1	0.2884	0.3824
GCF_051904065.1	0.1878	0.2951
GCF_051904745.1	0.2478	0.3148
GCF_051905015.1	0.1875	0.285
GCF_054027555.1	0.1727	0.2759
GCF_055387645.1	0.1666	0.2526
GCF_055390245.1	0.1214	0.1827
GCF_055589305.1	0.2761	0.3831
GCF_056489225.1	0.2435	0.3131
GCF_057457595.1	0.2235	0.3088
GCF_057838145.1	0.2122	0.2997
GCF_058182495.1	0.2139	0.3078
GCF_058435815.1	0.2774	0.3468
GCF_058436375.1	0.255	0.3349
GCF_058448535.1	0.2727	0.3634
GCF_058449135.1	0.2326	0.3243
GCF_900105045.1	0.2129	0.3033
GCF_900112135.1	0.2378	0.3341
GCF_902859785.1	0.2809	0.3867
GCF_963281165.1	0.1313	0.2113
GCF_976997305.1	0.2732	0.3567
GCF_978047615.1	0.1404	0.2168
