gcf	base_thr	base_topK	meteor	K
GCA_003598085.1	0.1658	0.2415	0.2276	1067
GCA_014873095.1	0.1479	0.233	0.2025	1027
GCA_022305115.1	0.2343	0.3156	0.2913	1417
GCA_046479585.1	0.1048	0.1874	0.1532	844
GCA_050699075.1	0.1238	0.235	0.2042	940
GCA_051904755.1	0.1904	0.2729	0.2527	1162
GCA_057539575.1	0.2173	0.3026	0.276	1273
GCA_982345475.1	0.0012	0.0311	0.024	167
GCF_000006945.2	0.2107	0.2948	0.2568	1335
GCF_000006965.1	0.2145	0.2988	0.2698	1272
GCF_000008185.1	0.0804	0.1532	0.1295	774
GCF_000008805.1	0.1288	0.2085	0.1778	888
GCF_000009625.1	0.2168	0.3096	0.2827	1314
GCF_000012685.1	0.1981	0.2655	0.2523	1173
GCF_000013085.1	0.1806	0.2683	0.237	1118
GCF_000014565.1	0.2584	0.3591	0.3112	1364
GCF_000014705.1	0.1852	0.2653	0.2391	1156
GCF_000016425.1	0.1858	0.2796	0.2492	1108
GCF_000017425.1	0.1777	0.2595	0.2355	1108
GCF_000018345.1	0.2154	0.3151	0.2705	1187
GCF_000018605.1	0.1133	0.1869	0.1764	887
GCF_000021425.1	0.1008	0.1823	0.159	795
GCF_000021865.1	0.1786	0.2681	0.2302	1113
GCF_000023285.1	0.107	0.1989	0.1633	830
GCF_000024385.1	0.1831	0.2816	0.2488	1123
GCF_000026645.1	0.2328	0.3134	0.2803	1325
GCF_000069185.1	0.2078	0.3106	0.2671	1165
GCF_000091305.1	0.2428	0.3391	0.3073	1365
GCF_000092025.1	0.2035	0.2834	0.2566	1213
GCF_000146655.1	0.1305	0.2091	0.1735	878
GCF_000147055.1	0.2042	0.276	0.2528	1214
GCF_000158815.1	0.1819	0.2858	0.2601	1152
GCF_000174395.2	0.1157	0.1986	0.1733	907
GCF_000195675.1	0.1909	0.2831	0.2438	1158
GCF_000195955.2	0.189	0.2839	0.253	1104
GCF_000237205.1	0.0969	0.1908	0.149	825
GCF_000237305.1	0.214	0.3114	0.277	1271
GCF_000258405.1	0.1332	0.2141	0.1965	958
GCF_000331005.1	0.2467	0.338	0.309	1375
GCF_000758665.1	0.1923	0.2614	0.2532	1227
GCF_000813125.1	0.1842	0.2638	0.2427	1147
GCF_000816885.1	0.1843	0.2741	0.2502	1168
GCF_000833375.1	0.1205	0.2066	0.1757	866
GCF_001189295.1	0.197	0.2741	0.2605	1204
GCF_001272835.1	0.0282	0.0861	0.0483	447
GCF_001427935.1	0.2004	0.2842	0.2647	1290
GCF_001544575.2	0.2554	0.357	0.3166	1450
GCF_001682855.1	0.1763	0.2545	0.2349	1143
GCF_001721185.1	0.185	0.2641	0.2428	1151
GCF_002257695.2	0.1633	0.2623	0.2223	1158
GCF_002260525.1	0.1993	0.2829	0.2613	1262
GCF_003019295.1	0.0889	0.1743	0.1526	809
GCF_003121295.1	0.2081	0.3032	0.2735	1241
GCF_003324715.1	0.1838	0.2669	0.244	1170
GCF_003605405.2	0.1811	0.2767	0.2375	1140
GCF_003626845.1	0.1723	0.2584	0.2307	1061
GCF_004307055.1	0.2391	0.3261	0.2974	1303
GCF_006094295.1	0.1954	0.2738	0.249	1173
GCF_008152325.1	0.1245	0.2024	0.1807	936
GCF_008244845.1	0.2105	0.2939	0.257	1338
GCF_008639165.1	0.2205	0.3099	0.2904	1290
GCF_008931305.1	0.222	0.3165	0.2868	1317
GCF_013365535.1	0.1604	0.2521	0.2212	1027
GCF_015277775.1	0.1765	0.2613	0.2368	1124
GCF_017916255.1	0.2119	0.3112	0.2771	1234
GCF_018732145.1	0.1917	0.2914	0.259	1166
GCF_019856495.1	0.1541	0.2413	0.2058	1026
GCF_021278985.1	0.2068	0.2882	0.2591	1329
GCF_022406515.1	0.1291	0.2079	0.1917	959
GCF_024519395.1	0.2166	0.2938	0.2707	1345
GCF_032924845.1	0.1905	0.2864	0.2458	1185
GCF_039535865.1	0.1079	0.2062	0.175	810
GCF_045039055.1	0.1348	0.2049	0.1878	971
GCF_045207185.1	0.221	0.3101	0.2864	1265
GCF_045286965.1	0.2237	0.3122	0.2891	1288
GCF_045348045.1	0.1526	0.2263	0.201	1001
GCF_045571375.1	0.2122	0.299	0.2682	1253
GCF_045712965.1	0.187	0.2743	0.2477	1186
GCF_046591535.1	0.1602	0.2452	0.223	995
GCF_047219265.1	0.2127	0.2942	0.2611	1337
GCF_047301005.1	0.1124	0.1907	0.1721	846
GCF_047946945.1	0.1954	0.2762	0.2536	1204
GCF_049860565.1	0.1603	0.251	0.2212	1046
GCF_050157305.1	0.1697	0.2501	0.2249	1047
GCF_050233995.1	0.0916	0.1769	0.1545	813
GCF_051043275.1	0.2132	0.3036	0.2713	1280
GCF_051903345.1	0.232	0.3299	0.2945	1319
GCF_051904065.1	0.1512	0.2356	0.2021	1015
GCF_051904745.1	0.2074	0.2905	0.2532	1325
GCF_051905015.1	0.1475	0.2303	0.1945	1012
GCF_054027555.1	0.1413	0.2256	0.2076	983
GCF_055387645.1	0.1408	0.2164	0.1986	1000
GCF_055390245.1	0.1015	0.1758	0.1467	811
GCF_055589305.1	0.2311	0.322	0.295	1339
GCF_056489225.1	0.203	0.2864	0.2509	1306
GCF_057457595.1	0.1948	0.2689	0.2573	1139
GCF_057838145.1	0.1748	0.2723	0.2424	1111
GCF_058182495.1	0.2011	0.2774	0.2556	1206
GCF_058435815.1	0.2331	0.3117	0.2849	1387
GCF_058436375.1	0.2194	0.299	0.2734	1359
GCF_058448535.1	0.2311	0.3115	0.2797	1329
GCF_058449135.1	0.211	0.2975	0.2672	1272
GCF_900105045.1	0.1813	0.283	0.2499	1108
GCF_900112135.1	0.1997	0.2883	0.2554	1207
GCF_902859785.1	0.2327	0.3297	0.2932	1383
GCF_963281165.1	0.1087	0.1917	0.1676	836
GCF_976997305.1	0.219	0.3095	0.2796	1307
GCF_978047615.1	0.1214	0.1924	0.1696	851
