gcf	base_thr	base_topK	meteor	K
GCA_003598085.1	0.1942	0.327	0.2974	1434
GCA_014873095.1	0.1924	0.3055	0.2945	1383
GCA_022305115.1	0.2781	0.3766	0.3492	1673
GCA_046479585.1	0.125	0.2329	0.1975	1016
GCA_050699075.1	0.165	0.3121	0.2739	1288
GCA_051904755.1	0.21	0.3175	0.2937	1352
GCA_057539575.1	0.2689	0.3824	0.3626	1674
GCA_982345475.1	0.0046	0.0948	0.0462	401
GCF_000006945.2	0.2511	0.3528	0.3223	1577
GCF_000006965.1	0.2574	0.389	0.3553	1654
GCF_000008185.1	0.1067	0.2361	0.2187	1055
GCF_000008805.1	0.1489	0.2526	0.2226	1068
GCF_000009625.1	0.2913	0.4016	0.3721	1689
GCF_000012685.1	0.2382	0.3715	0.357	1612
GCF_000013085.1	0.2132	0.3299	0.294	1408
GCF_000014565.1	0.2951	0.4221	0.3963	1796
GCF_000014705.1	0.2212	0.3304	0.3071	1398
GCF_000016425.1	0.2269	0.3526	0.3276	1494
GCF_000017425.1	0.1959	0.3086	0.2835	1347
GCF_000018345.1	0.2523	0.3831	0.3613	1611
GCF_000018605.1	0.137	0.2312	0.205	1035
GCF_000021425.1	0.1209	0.2364	0.1988	974
GCF_000021865.1	0.2064	0.3243	0.2953	1399
GCF_000023285.1	0.1384	0.2417	0.2217	1063
GCF_000024385.1	0.2362	0.3617	0.3265	1493
GCF_000026645.1	0.2699	0.389	0.357	1660
GCF_000069185.1	0.2471	0.3722	0.3431	1549
GCF_000091305.1	0.2832	0.4104	0.3878	1774
GCF_000092025.1	0.2527	0.3752	0.3408	1579
GCF_000146655.1	0.147	0.265	0.2274	1095
GCF_000147055.1	0.2444	0.3506	0.3248	1512
GCF_000158815.1	0.2357	0.3672	0.3385	1544
GCF_000174395.2	0.1355	0.2549	0.2359	1152
GCF_000195675.1	0.2421	0.377	0.3399	1561
GCF_000195955.2	0.2277	0.3519	0.3232	1465
GCF_000237205.1	0.1177	0.2472	0.2268	1058
GCF_000237305.1	0.2693	0.3925	0.3658	1682
GCF_000258405.1	0.1769	0.2882	0.2761	1272
GCF_000331005.1	0.2904	0.4244	0.4013	1807
GCF_000758665.1	0.2214	0.3572	0.3385	1585
GCF_000813125.1	0.2117	0.3363	0.3065	1420
GCF_000816885.1	0.2306	0.3438	0.3123	1455
GCF_000833375.1	0.1476	0.2554	0.2149	1039
GCF_001189295.1	0.2588	0.3863	0.3672	1677
GCF_001272835.1	0.0328	0.1213	0.0855	586
GCF_001427935.1	0.2394	0.3682	0.3491	1631
GCF_001544575.2	0.3006	0.4287	0.4096	1825
GCF_001682855.1	0.2181	0.3495	0.336	1536
GCF_001721185.1	0.2192	0.3363	0.3076	1436
GCF_002257695.2	0.2085	0.3369	0.318	1502
GCF_002260525.1	0.252	0.3778	0.3504	1637
GCF_003019295.1	0.1159	0.2311	0.2109	1024
GCF_003121295.1	0.2563	0.3723	0.3481	1612
GCF_003324715.1	0.2271	0.3479	0.3165	1479
GCF_003605405.2	0.2199	0.3435	0.3212	1444
GCF_003626845.1	0.2288	0.3337	0.3207	1425
GCF_004307055.1	0.2797	0.42	0.3853	1743
GCF_006094295.1	0.2265	0.3558	0.3213	1508
GCF_008152325.1	0.1548	0.2675	0.2439	1196
GCF_008244845.1	0.2499	0.3487	0.322	1575
GCF_008639165.1	0.272	0.3948	0.3665	1688
GCF_008931305.1	0.2676	0.3905	0.3626	1675
GCF_013365535.1	0.2137	0.3381	0.3155	1409
GCF_015277775.1	0.2469	0.3732	0.36	1648
GCF_017916255.1	0.2721	0.3745	0.3548	1604
GCF_018732145.1	0.2345	0.3659	0.332	1519
GCF_019856495.1	0.1749	0.2884	0.2566	1240
GCF_021278985.1	0.249	0.3337	0.3183	1567
GCF_022406515.1	0.1501	0.277	0.2505	1195
GCF_024519395.1	0.2557	0.3552	0.3277	1590
GCF_032924845.1	0.2314	0.3528	0.318	1502
GCF_039535865.1	0.1408	0.2902	0.2504	1186
GCF_045039055.1	0.1526	0.2727	0.2407	1204
GCF_045207185.1	0.273	0.381	0.3573	1629
GCF_045286965.1	0.2682	0.3985	0.3713	1693
GCF_045348045.1	0.1752	0.284	0.2564	1212
GCF_045571375.1	0.2549	0.3808	0.353	1625
GCF_045712965.1	0.218	0.3414	0.3113	1461
GCF_046591535.1	0.2096	0.3233	0.3005	1388
GCF_047219265.1	0.2512	0.3486	0.325	1586
GCF_047301005.1	0.1379	0.2315	0.2068	1034
GCF_047946945.1	0.2395	0.3512	0.3203	1522
GCF_049860565.1	0.1854	0.3063	0.2893	1351
GCF_050157305.1	0.2001	0.3127	0.2915	1315
GCF_050233995.1	0.1215	0.2314	0.215	1047
GCF_051043275.1	0.2583	0.4021	0.366	1695
GCF_051903345.1	0.2884	0.4048	0.3824	1716
GCF_051904065.1	0.1878	0.3101	0.2951	1363
GCF_051904745.1	0.2478	0.3439	0.3148	1553
GCF_051905015.1	0.1875	0.3139	0.285	1344
GCF_054027555.1	0.1727	0.2961	0.2759	1261
GCF_055387645.1	0.1666	0.2817	0.2526	1238
GCF_055390245.1	0.1214	0.2221	0.1827	976
GCF_055589305.1	0.2761	0.4087	0.3831	1747
GCF_056489225.1	0.2435	0.345	0.3131	1540
GCF_057457595.1	0.2235	0.343	0.3088	1425
GCF_057838145.1	0.2122	0.3261	0.2997	1419
GCF_058182495.1	0.2139	0.3411	0.3078	1424
GCF_058435815.1	0.2774	0.3813	0.3468	1673
GCF_058436375.1	0.255	0.3587	0.3349	1614
GCF_058448535.1	0.2727	0.3916	0.3634	1677
GCF_058449135.1	0.2326	0.3499	0.3243	1516
GCF_900105045.1	0.2129	0.339	0.3033	1430
GCF_900112135.1	0.2378	0.3618	0.3341	1545
GCF_902859785.1	0.2809	0.4099	0.3867	1754
GCF_963281165.1	0.1313	0.2421	0.2113	1022
GCF_976997305.1	0.2732	0.3857	0.3567	1663
GCF_978047615.1	0.1404	0.256	0.2168	1044
