gcf	base_cov	meteor_cov
GCA_003598085.1	0.1376	0.1887
GCA_014873095.1	0.1275	0.1649
GCA_022305115.1	0.2486	0.2957
GCA_046479585.1	0.1036	0.1322
GCA_050699075.1	0.098	0.1545
GCA_051904755.1	0.176	0.2254
GCA_057539575.1	0.1752	0.221
GCA_982345475.1	0.0001	0.0231
GCF_000006945.2	0.2234	0.2722
GCF_000006965.1	0.2079	0.2518
GCF_000008185.1	0.0678	0.1094
GCF_000008805.1	0.1349	0.173
GCF_000009625.1	0.2049	0.2505
GCF_000012685.1	0.1672	0.2141
GCF_000013085.1	0.1703	0.2145
GCF_000014565.1	0.2414	0.2936
GCF_000014705.1	0.1925	0.236
GCF_000016425.1	0.1694	0.2185
GCF_000017425.1	0.1713	0.2198
GCF_000018345.1	0.208	0.2589
GCF_000018605.1	0.1086	0.1684
GCF_000021425.1	0.0812	0.1206
GCF_000021865.1	0.1781	0.2228
GCF_000023285.1	0.1015	0.1433
GCF_000024385.1	0.167	0.2227
GCF_000026645.1	0.2244	0.2641
GCF_000069185.1	0.2028	0.2516
GCF_000091305.1	0.2138	0.2683
GCF_000092025.1	0.195	0.2419
GCF_000146655.1	0.1358	0.1743
GCF_000147055.1	0.2145	0.2583
GCF_000158815.1	0.1619	0.2115
GCF_000174395.2	0.1009	0.1452
GCF_000195675.1	0.1965	0.2381
GCF_000195955.2	0.1923	0.2462
GCF_000237205.1	0.0818	0.132
GCF_000237305.1	0.1822	0.2316
GCF_000258405.1	0.1224	0.1732
GCF_000331005.1	0.216	0.278
GCF_000758665.1	0.1589	0.2067
GCF_000813125.1	0.1719	0.2194
GCF_000816885.1	0.1848	0.2329
GCF_000833375.1	0.1334	0.1843
GCF_001189295.1	0.1703	0.2143
GCF_001272835.1	0.026	0.0513
GCF_001427935.1	0.1877	0.2343
GCF_001544575.2	0.2518	0.2996
GCF_001682855.1	0.1517	0.1941
GCF_001721185.1	0.1944	0.2435
GCF_002257695.2	0.1453	0.1956
GCF_002260525.1	0.2108	0.2556
GCF_003019295.1	0.082	0.1435
GCF_003121295.1	0.1665	0.2208
GCF_003324715.1	0.1664	0.2092
GCF_003605405.2	0.1901	0.234
GCF_003626845.1	0.1558	0.2133
GCF_004307055.1	0.2233	0.2746
GCF_006094295.1	0.1891	0.2394
GCF_008152325.1	0.1166	0.1762
GCF_008244845.1	0.2237	0.2709
GCF_008639165.1	0.1948	0.2437
GCF_008931305.1	0.1917	0.2424
GCF_013365535.1	0.1462	0.2058
GCF_015277775.1	0.1574	0.2066
GCF_017916255.1	0.1726	0.2192
GCF_018732145.1	0.1697	0.2171
GCF_019856495.1	0.1453	0.1924
GCF_021278985.1	0.2251	0.2693
GCF_022406515.1	0.1146	0.1631
GCF_024519395.1	0.239	0.2825
GCF_032924845.1	0.1838	0.2209
GCF_039535865.1	0.0728	0.1372
GCF_045039055.1	0.1132	0.1569
GCF_045207185.1	0.1941	0.2448
GCF_045286965.1	0.1957	0.2426
GCF_045348045.1	0.1392	0.1901
GCF_045571375.1	0.2149	0.2589
GCF_045712965.1	0.1839	0.2326
GCF_046591535.1	0.1498	0.2009
GCF_047219265.1	0.2379	0.2791
GCF_047301005.1	0.1	0.1437
GCF_047946945.1	0.195	0.2376
GCF_049860565.1	0.1409	0.2031
GCF_050157305.1	0.172	0.2189
GCF_050233995.1	0.082	0.1391
GCF_051043275.1	0.207	0.2522
GCF_051903345.1	0.2321	0.2782
GCF_051904065.1	0.1344	0.1748
GCF_051904745.1	0.2233	0.2728
GCF_051905015.1	0.1371	0.1718
GCF_054027555.1	0.1226	0.1807
GCF_055387645.1	0.129	0.1724
GCF_055390245.1	0.1025	0.1356
GCF_055589305.1	0.1961	0.2537
GCF_056489225.1	0.2194	0.2657
GCF_057457595.1	0.1976	0.2501
GCF_057838145.1	0.1605	0.2149
GCF_058182495.1	0.1961	0.2427
GCF_058435815.1	0.25	0.2944
GCF_058436375.1	0.2391	0.2808
GCF_058448535.1	0.2241	0.2731
GCF_058449135.1	0.1975	0.243
GCF_900105045.1	0.1597	0.2153
GCF_900112135.1	0.2044	0.2461
GCF_902859785.1	0.2184	0.2702
GCF_963281165.1	0.1002	0.1491
GCF_976997305.1	0.2239	0.2687
GCF_978047615.1	0.1245	0.1608
